camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image
none,none,none,none,none,none,none,None,P1010270,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010270.JPG
none,none,none,none,none,none,none,None,P1010271,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010271.JPG
none,none,none,none,none,none,none,None,P1010272,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010272.JPG
none,none,none,none,none,none,none,None,P1010273,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010273.JPG
none,none,none,none,none,none,none,None,P1010274,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010274.JPG
none,none,none,none,none,none,none,None,P1010275,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010275.JPG
none,none,none,none,none,none,none,None,P1010276,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010276.JPG
none,none,none,none,none,none,none,None,P1010277,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010277.JPG
none,none,none,none,none,none,none,None,P1010278,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010278.JPG
none,none,none,none,none,none,none,None,P1010279,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010279.JPG
none,none,none,none,none,none,none,None,P1010280,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010280.JPG
none,none,none,none,none,none,none,None,P1010281,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010281.JPG
none,none,none,none,none,none,none,None,P1010282,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010282.JPG
none,none,none,none,none,none,none,None,P1010283,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010283.JPG
none,none,none,none,none,none,none,None,P1010284,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010284.JPG
none,none,none,none,none,none,none,None,P1010285,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010285.JPG
none,none,none,none,none,none,none,None,P1010286,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010286.JPG
none,none,none,none,none,none,none,None,P1010287,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010287.JPG
none,none,none,none,none,none,none,None,P1010288,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010288.JPG
none,none,none,none,none,none,none,None,P1010289,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010289.JPG
none,none,none,none,none,none,none,None,P1010290,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010290.JPG
none,none,none,none,none,none,none,None,P1010291,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010291.JPG
none,none,none,none,none,none,none,None,P1010292,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010292.JPG
none,none,none,none,none,none,none,None,P1010293,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010293.JPG
none,none,none,none,none,none,none,None,P1010294,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010294.JPG
none,none,none,none,none,none,none,None,P1010295,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010295.JPG
none,none,none,none,none,none,none,None,P1010296,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010296.JPG
none,none,none,none,none,none,none,None,P1010297,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010297.JPG
none,none,none,none,none,none,none,None,P1010298,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010298.JPG
none,none,none,none,none,none,none,None,P1010299,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010299.JPG
none,none,none,none,none,none,none,None,P1010300,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010300.JPG
none,none,none,none,none,none,none,None,P1010301,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010301.JPG
none,none,none,none,none,none,none,None,P1010302,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010302.JPG
none,none,none,none,none,none,none,None,P1010303,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010303.JPG
none,none,none,none,none,none,none,None,P1010304,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010304.JPG
none,none,none,none,none,none,none,None,P1010305,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010305.JPG
none,none,none,none,none,none,none,None,P1010306,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010306.JPG
none,none,none,none,none,none,none,None,P1010307,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010307.JPG
none,none,none,none,none,none,none,None,P1010308,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010308.JPG
none,none,none,none,none,none,none,None,P1010309,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010309.JPG
none,none,none,none,none,none,none,None,P1010310,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010310.JPG
none,none,none,none,none,none,none,None,P1010311,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010311.JPG
none,none,none,none,none,none,none,None,P1010312,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010312.JPG
none,none,none,none,none,none,none,None,P1010313,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010313.JPG
none,none,none,none,none,none,none,None,P1010314,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010314.JPG
none,none,none,none,none,none,none,None,P1010315,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010315.JPG
none,none,none,none,none,none,none,None,P1010316,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010316.JPG
none,none,none,none,none,none,none,None,P1010317,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010317.JPG
none,none,none,none,none,none,none,None,P1010318,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010318.JPG
none,none,none,none,none,none,none,None,P1010319,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010319.JPG
none,none,none,none,none,none,none,None,P1010320,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010320.JPG
none,none,none,none,none,none,none,None,P1010321,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010321.JPG
none,none,none,none,none,none,none,None,P1010322,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010322.JPG
none,none,none,none,none,none,none,None,P1010323,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010323.JPG
none,none,none,none,none,none,none,None,P1010324,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010324.JPG
